parcel_id,ndvi_value,temperature_c,rainfall_mm,sensor_status,date,sensor_status_clean,mill_id,crop_type,sowing_date,area_hectares
PARCEL_018,0.595,15.4,0.0,error,2026-05-16,bad,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_014,0.457,27.6,0.0,OK,2026-01-27,good,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_006,0.497,25.8,0.0,OK,2026-05-17,good,MILL_WEST,sugarcane,2026-02-11,5.67
PARCEL_004,0.81,25.0,0.0,OK,2026-02-10,good,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_002,0.269,33.2,0.0,OK,2026-01-17,good,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_015,0.873,26.3,0.0,OK,2026-03-19,good,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_020,0.806,16.8,2.7,OK,2026-05-08,good,MILL_NORTH,sugarcane,2026-02-19,9.95
PARCEL_010,0.315,27.9,0.9,OK,2026-01-20,good,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_012,0.894,23.8,0.0,NA,2026-05-09,bad,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_008,0.278,15.7,4.1,error,2026-02-07,bad,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_019,0.198,15.3,1.0,OK,2026-01-10,good,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_010,0.403,18.7,0.0,OK,2026-05-10,good,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_001,0.231,34.5,0.0,OK,2026-01-16,good,MILL_NORTH,sugarcane,2026-02-10,9.03
PARCEL_023,0.873,31.3,0.0,OK,2026-03-24,good,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_020,0.222,24.4,2.9,OK,2026-03-12,good,MILL_NORTH,sugarcane,2026-02-19,9.95
PARCEL_013,0.23,31.9,0.0,OK,2026-01-01,good,MILL_EAST,soybean,2026-02-23,2.71
PARCEL_025,0.071,33.4,0.0,OK,2026-02-04,good,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_001,0.151,22.6,0.0,OK,2026-01-26,good,MILL_NORTH,sugarcane,2026-02-10,9.03
PARCEL_013,0.15,19.2,0.0,OK,2026-01-28,good,MILL_EAST,soybean,2026-02-23,2.71
PARCEL_002,0.672,21.2,0.0,OK,2026-04-10,good,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_023,0.698,35.1,0.0,OK,2026-04-24,good,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_022,0.532,34.7,0.0,Error,2026-03-26,bad,MILL_EAST,sugarcane,2026-01-14,8.04
PARCEL_020,0.699,35.0,0.0,OK,2026-04-18,good,MILL_NORTH,sugarcane,2026-02-19,9.95
PARCEL_024,0.569,24.2,0.0,OK,2026-03-11,good,MILL_EAST,soybean,2026-01-16,5.43
PARCEL_023,0.51,18.4,2.9,OK,2026-05-29,good,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_025,0.083,30.3,0.0,OK,2026-01-04,good,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_015,0.257,34.0,0.0,OK,2026-01-11,good,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_012,0.096,31.6,0.0,OK,2026-02-23,good,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_007,0.509,20.8,0.0,OK,2026-05-15,good,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_007,0.583,25.7,0.0,OK,2026-05-29,good,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_001,0.588,20.1,5.8, OK,2026-04-23,bad,MILL_NORTH,sugarcane,2026-02-10,9.03
PARCEL_014,0.769,18.0,7.8,OK,2026-03-18,good,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_023,0.499,26.8,0.0,NaN,2026-03-17,bad,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_014,0.288,19.4,0.0,OK,2026-01-07,good,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_019,0.569,16.9,0.0,OK,2026-03-05,good,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_023,0.283,15.3,0.0,OK,2026-02-11,good,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_024,0.609,23.7,0.0,OK,2026-05-17,good,MILL_EAST,soybean,2026-01-16,5.43
PARCEL_017,0.611,28.8,0.0,OK,2026-05-18,good,MILL_EAST,sugarcane,2026-01-14,7.51
PARCEL_009,0.738,25.7,0.0,OK,2026-04-08,good,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_007,0.534,17.3,4.1,,2026-05-27,bad,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_007,0.71,30.9,0.0,OK,2026-05-17,good,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_023,0.245,35.1,2.2,OK,2026-02-16,good,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_010,0.23,17.0,0.0,OK,2026-01-25,good,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_021,0.229,33.7,0.0,OK,2026-02-05,good,MILL_EAST,wheat,2026-02-21,3.58
PARCEL_002,0.757,30.6,0.0,OK,2026-03-20,good,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_018,0.72,16.4,0.0,OK,2026-02-16,good,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_023,0.421,34.4,0.0,OK,2026-02-14,good,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_009,0.276,19.3,0.0,OK,2026-02-28,good,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_015,0.707,23.3,5.0,OK,2026-02-20,good,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_016,0.184,34.9,1.6,OK,2026-01-15,good,MILL_EAST,sugarcane,2026-01-30,4.76
PARCEL_015,0.802,16.3,0.0,OK,2026-02-13,good,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_015,0.661,33.2,0.0,OK,2026-05-13,good,MILL_SOUTH,sugarcane,2026-01-06,4.87
